title,company,min_exp,max_exp,location,skills,posted_days
Lead Analyst FDS&A,Lowes Services India Private limited,5,10,['Bengaluru'],"['financial reporting', 'financial analysis', 'analytical', 'corporate finance', 'budgeting', 'microsoft', 'business intelligence', 'financial modelling']",
HPLC & GC analysts,Synthesis Solutions,4,9,['Bengaluru'],"['iso', 'gc analysis', 'analytical', 'standard operating procedures', 'packaging', 'gmp', 'troubleshooting', 'raw material']",
T&T-EAD-Analyst,Deloitte Consulting,3,5,['Bengaluru'],"['automation', 'linux', 'data management', 'performance management', 'analytical', 'workflow', 'troubleshooting', 'business intelligence']",
Anaplan Analyst,Ringcentral,0,1,['Bengaluru'],"['anaplan', 'forecasting', 'business analysis', 'sql', 'user acceptance testing', 'financial analysis', 'project management', 'data analysis']",21.0
Analyst,Center Study Science Technology Policy,0,2,['Bengaluru'],"['administrative assistance', 'administration', 'literature', 'senior analyst', 'focus', 'research', 'logistics', 'senior']",
Analyst,Abraham And Partners Marketbuilders,0,3,['Bengaluru'],"['lead generation', 'usage', 'excel', 'database management', 'senior analyst', 'management consulting', 'powerpoint', 'sales support']",
Analyst,Thepharmadaily LLP,0,3,['Bengaluru'],"['ehs', 'nutrition', 'data management', 'medical billing', 'gcp', 'medical coding', 'biochemistry', 'life sciences']",
Rebate Analyst,Exxon Mobil Corporation,1,3,['Bengaluru'],"['market development', 'sap', 'networking', 'analytical', 'reconciliation', 'business planning', 'training and development', 'operations']",
Senior FP&A Analyst,Wells Fargo,4,9,['Bengaluru'],"['forecasting', 'variance analysis', 'alteryx', 'computation', 'finance', 'tds', 'internal control', 'investment banking']",14.0
Ivalua Analyst,Booking Holdings,3,8,['Bengaluru'],"['sap', 'data analytics', 'sap ecc', 'sql', 'sap mm', 'accounts payable', 'lsmw', 'ecc']",21.0
Cybersecurity Analyst (Remote),Minutes To Seconds Karnataka,2,4,['Bengaluru'],"['automation', 'manager quality assurance', 'data management', 'business analytics', 'system integration', 'data structures', 'data processing', 'macros']",
Successfactors Analyst,Seven N Consulting Pvt. Ltd.,3,5,['Bengaluru'],"['it services', 'ms access', 'senior analyst', 'hr', 'training and development', 'digital transformation', 'analytics', 'project life cycle']",
IMPO UAM Authorization Analyst,Johnson & Johnson,3,8,['Remote'],"['sap s hana', 'implementation', 'green field projects', 'sap fiori', 'sap grc', 'sap security and grc', 'analysis', 'saps']",
Analyst,eClerx,1,4,['Bengaluru'],"['business development', 'project management', 'data analysis', 'it services', 'program management', 'customer service', 'networking', 'change management']",
PPSM Analyst,Accenture,3,5,['Bengaluru'],"['capital market', 'master data management', 'content management', 'trade', 'mdm', 'trading', 'financial analysis', 'investment banking']",
PPSM Analyst,Accenture,3,5,['Bengaluru'],"['project management', 'change management', 'inside sales', 'business transformation', 'leadership development', 'operations management', 'data analysis', 'team management']",
FinOps Analyst,Amazon,1,2,['Bengaluru'],"['accounts payable', 'invoice processing', 'payables', 'ap', 'p2p', 'analysis', 'process', 'accounting']",
