title,company,experience,location,description,skills,posted
Rebate Analyst,Corteva Agri Science (The Agriculture Division Of DowDuPont),5-10 Yrs,Bengaluru,"Experience in finance and MIS with strong reasoning ability, analyzing and calculating ...","Process design, Data analysis, ERP, SAP, MIS, Process improvement, Analytical, Billing",3+ weeks ago
Cybersecurity Analyst APAC,Colliers,1-5 Yrs,Bengaluru,. Colliers is looking to hire a cyber security analyst with expertise and experience in...,"Supply chain, Data analysis, Cisa, cyber security, Information security, ISO 27001, Windows, microsoft",3+ weeks ago
Background Checks Analyst,Millennium Management,2-5 Yrs,Bengaluru,Bachelor s degree required. 2-5 years experience as an investigator or compliance profe...,"Law enforcement, Document review, Compliance, Analytical, Investigation, Database, HR, Financial services",3 weeks ago
FP&A Analyst,3M India,3-5 Yrs,Bengaluru,Experience: 3-5 years of relevant experience in Financial Planning & Analysis or a simi...,"Supply chain, Data analysis, Financial reporting, CMA, Process improvement, Analytical, Financial planning, Variance analysis",3+ weeks ago
Programmatic Analyst,Zeta Global,1-6 Yrs,Bengaluru,"Bachelors degree in Media, Business, Economics, Statistics, Marketing and / or equivale...","Programmatic analytics, storytelling, VBA, data manipulation, troubleshooting, Tableau, Macros, Python",3+ weeks ago
Analyst - SecOps,Converge Electronics,3-5 Yrs,Bengaluru,We are seeking a highly skilled SOC Level 2 Analyst to join our global Cyber Operation...,"HP data protector, data security, SOC, Analytical, Network security, SIEM, microsoft, Information technology",3 weeks ago
Analyst - SecOps,Einfochips,3-5 Yrs,Bengaluru,We are seeking a highly skilled SOC Level 2 Analyst to join our global Cyber Operation...,"HP data protector, data security, SOC, Analytical, Network security, SIEM, microsoft, Information technology",3 weeks ago
Gas Chromatography ( GC analyst ),Auriga Research,2-3 Yrs,Bengaluru,Role & responsibilities:Outline the day-to-day responsibilities for this role.Preferred...,"Gas Chromatography, GC, Analytical Instruments, GC Analysis, Analysis, Analytics, Gas, Analytical",3+ weeks ago
Celonis CoE Analyst,Derisk360,5-9 Yrs,Bengaluru,"Experience: Minimum 4+ years of proven experience as a Data Engineer, with a focus on E...","sap, analytical, etl tool, data warehousing concepts, Analysis, ETL, Analytics, Warehouse",3+ weeks ago
ESG Analyst,Solaron Sustainability,2-7 Yrs,Bengaluru,Experience in business / industry research and exposure to both secondary and primary r...,"primary research, industry research, eye for detail, research analyst, working, company, analytical skills, excellent communication",3+ weeks ago
