title,company,experience,location,description,skills,posted
Analyst,Center Study Science Technology Policy,1-2 Yrs,Bengaluru,The candidate must be well-versed in the technical and policy aspects of climate change...,"Project development, Data analysis, Literature, Analytical, Report writing, Research, MS Office, Application Analyst",3+ weeks ago
Analyst,Consero,2-6 Yrs,Bengaluru,Experience and Education Requirements: . BCom / MCom / MBA / MFM . Good communication s...,"Analytical skills, Analyst, Excel, Accounting, Financial planning, Consulting, Budgeting, Data mining",3+ weeks ago
Analyst,Center Study Science Technology Policy,1-3 Yrs,Bengaluru,The analyst will be involved in various short- and long-term modelling studies on e...,"Analytical skills, MS Office Powerpoint, Data collection, Transition, model development, HTML, MS Office, Powerpoint",3+ weeks ago
Analyst MLM,Lowes Services India Private limited,3-8 Yrs,Bengaluru,"Bachelors Degree in Engineering, Supply Chain Management, Operations Research or Relate...","Supply chain management, Operations research, MS Access, Project management, Business analytics, Analytical, Data mining, Forecasting",3+ weeks ago
Analyst,Center Study Science Technology Policy,1-3 Yrs,Bengaluru,". Graduate in Environmental Sciences, Sustainability Studies, Energy Management or rela...","Analytical skills, Usage, Excel, Data collection, Transition, model development, MS Office, Powerpoint",3+ weeks ago
Insights Analyst,Convegenius Edu,4-9 Yrs,Bengaluru,Minimum Qualifications & Experience Minimum 4+ years sectors preferred. of experience i...,"Health insurance, Google Analytics, Data modeling, MIS, Analytical, E-governance, Data collection, Business intelligence",3+ weeks ago
Analyst,Urbanpiper,1-3 Yrs,Bengaluru,"MBA / Post Graduates in HR / Finance/Analytics or related fields . Or, Bachelors in Eng...","settlements, hrms, hlookup, macros, data analytics, law, data analysis, mis reporting",3+ weeks ago
FP&A Analyst,Vee Healthtek,3-7 Yrs,Bengaluru,"Bachelor s degree in Finance, Accounting, Economics, or related fieldRequired Skills & ...","Data analysis, ERP, SAP, Analytical, Strategic planning, Corporate finance, Budgeting, Oracle",3+ weeks ago
Analyst,Center Study Science Technology Policy,2-7 Yrs,Bengaluru,. Masters or Bachelors degree in engineering,"Economics, Chemical, Literature, Simulation, Analytical, Mechanical, Data collection, Application Analyst",3+ weeks ago
Analyst,Center Study Science Technology Policy,2-7 Yrs,Bengaluru,"Experience . 0 . 2 years of experience in sustainability / climate roles, with demonstr...","Environmental science, Excel, Project leadership, Analytical, Research, Management, MS Office, Powerpoint",3+ weeks ago
Real - World Evidence Analyst,Mango Sciences,4-6 Yrs,Bengaluru,"Undergraduate or post-graduate (MS or PhD) degree in a quantitative, analytical discipl...","Analyst, Operations research, Project management, Analytical, Agile, Healthcare, microsoft, Econometrics",3+ weeks ago
Principal Analyst - FP&A,Anheuser Busch InBev,4-6 Yrs,Bengaluru,Reporting and Analysis: . Custodian and driver of Variable Logistics Costs & ZBB for Be...,"Procurement, Supply chain, ERP, Data management, Cognos, MIS, MS Office, Project delivery",3+ weeks ago
Analyst,ARP Investments,2-4 Yrs,"Bengaluru, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai",Good written and oral communication skills,"Analyst, Investor relations, Data management, Risk management, Portfolio management, Forecasting, Analytics, Python",3+ weeks ago
FP&A Analyst,TYA Business Solutions,2-5 Yrs,Bengaluru,": CA with 2-5 years of experience in FP&A, business finance within IT industry Proficie...","Data management, Financial reporting, Financial analysis, Business Finance, Analytical, Advanced Excel, data visualization, Forecasting",3+ weeks ago
FP&A Analyst CA,Tyasuite Software Solutions,2-5 Yrs,Bengaluru,": CA with 2-5 years of experience in FP&A, business finance within IT industry Proficie...","Data management, Financial reporting, Financial analysis, Business Finance, Analytical, Advanced Excel, data visualization, Forecasting",3+ weeks ago
Lead Analyst FDS&A,Lowes Services India Private limited,5-10 Yrs,Bengaluru,"Lowe s Companies, Inc. (NYSE: LOW) is a FORTUNE 50 home improvement company serving...","Financial reporting, Financial analysis, Analytical, Corporate finance, Budgeting, microsoft, Business intelligence, Financial modelling",3+ weeks ago
HPLC & GC analysts,Synthesis Solutions,4-9 Yrs,Bengaluru,Maintenance of HPLC and GC columns and chemicals required for HPLC and GC analysis.,"ISO, GC analysis, Analytical, Standard operating procedures, Packaging, GMP, Troubleshooting, Raw material",3+ weeks ago
T&T-EAD-Analyst,Deloitte Consulting,3-5 Yrs,Bengaluru,"In addition to living our purpose, Analyst / Consultant/Senior Consultant across our or...","Automation, Linux, Data management, Performance management, Analytical, Workflow, Troubleshooting, Business intelligence",3+ weeks ago
Anaplan Analyst,Ringcentral,0-1 Yrs,Bengaluru,"Experience with Anaplan development, design, architecture, and maintenance Certified Mo...","anaplan, forecasting, business analysis, sql, user acceptance testing, financial analysis, project management, data analysis",3 weeks ago
Analyst,Center Study Science Technology Policy,0-2 Yrs,Bengaluru,Qualifications . Bachelors degree with 60% (first class) from a recognised Indian unive...,"Administrative assistance, Administration, Literature, Senior Analyst, Focus, Research, Logistics, Senior",3+ weeks ago
Analyst,Abraham And Partners Marketbuilders,0-3 Yrs,Bengaluru,Candidates aspiring for a management consulting role will find this profile to be a gre...,"Lead generation, Usage, Excel, Database management, Senior Analyst, Management consulting, Powerpoint, Sales support",3+ weeks ago
Analyst,Thepharmadaily LLP,0-3 Yrs,Bengaluru,knowledge of ELISA and MSD assays is desirable Educational Qualification . Master s deg...,"EHS, Nutrition, Data management, Medical billing, GCP, Medical coding, Biochemistry, Life sciences",3+ weeks ago
Rebate Analyst,Exxon Mobil Corporation,1-3 Yrs,Bengaluru,Skills and Qualifications . Bachelors or Master s degree in commerce with solid experie...,"Market development, SAP, Networking, Analytical, Reconciliation, Business planning, Training and Development, Operations",3+ weeks ago
Senior FP&A Analyst,Wells Fargo,4-9 Yrs,Bengaluru,Prior work experience in the financial or banking industries with good understanding of...,"forecasting, variance analysis, alteryx, computation, finance, tds, internal control, investment banking",2 weeks ago
Ivalua Analyst,Booking Holdings,3-8 Yrs,Bengaluru,"Due to the rapid and continuous growth of the organization, the tasks and duties of t...","sap, data analytics, sap ecc, sql, sap mm, accounts payable, lsmw, ecc",3 weeks ago
Cybersecurity Analyst (Remote),Minutes To Seconds Karnataka,2-4 Yrs,Bengaluru,o Transform data structures to align with the platform required format Bachelor degree ...,"Automation, Manager Quality Assurance, Data management, Business analytics, System integration, Data structures, Data processing, Macros",3+ weeks ago
Successfactors Analyst,Seven N Consulting Pvt. Ltd.,3-5 Yrs,Bengaluru,"Mandatory Skills . 3-5 years reporting(Report story and Canvas), MS Access, good knowle...","IT services, MS Access, Senior Analyst, HR, Training and Development, digital transformation, Analytics, Project life cycle",3+ weeks ago
IMPO UAM Authorization Analyst,Johnson & Johnson,3-8 Yrs,Remote,"Required: . Bachelors degree in a relevant field, with a preference for studies in Risk...","Sap S Hana, implementation, Green Field Projects, Sap Fiori, SAP GRC, Sap Security And Grc, Analysis, Saps",3+ weeks ago
Analyst,eClerx,1-4 Yrs,Bengaluru,Experience with data analysis and interpretation to inform business decisions,"business development, project management, data analysis, it services, program management, customer service, networking, change management",3+ weeks ago
PPSM Analyst,Accenture,3-5 Yrs,Bengaluru,Qualifications: Any Graduation Skill required: Capital Markets Services - Master Data M...,"capital market, master data management, content management, trade, mdm, trading, financial analysis, investment banking",3+ weeks ago
PPSM Analyst,Accenture,3-5 Yrs,Bengaluru,About The Role Skill required: Digital Inside Sales - Inside SalesDesignation: PPSM A...,"project management, change management, inside sales, business transformation, leadership development, operations management, data analysis, team management",3+ weeks ago
FinOps Analyst,Amazon,1-2 Yrs,Bengaluru,"DESCRIPTIONAt Amazon, we're working to be the world's most customer-centric company. D...","Accounts Payable, Invoice Processing, Payables, Ap, P2P, Analysis, Process, Accounting",3+ weeks ago
"FinOps Analyst , FinOps",Amazon,1-2 Yrs,Bengaluru,"This role requires one to be a self-starter with strong business modeling skills, keen ...","Service delivery, Root cause analysis, Typing speed, Compliance, Business modeling, Oracle financials, Management, Continuous improvement",3+ weeks ago
Analyst,Wipro,1-3 Yrs,Bengaluru,. Do . Support process by managing transactions as per required quality standards . Exp...,"customer service, legal services, technical support, troubleshooting, operational excellence, project management, team management, legal documentation",2 weeks ago
Analyst,Wipro,1-3 Yrs,Bengaluru,. Do. Support process by managing transactions as per required quality standards . Expe...,"customer service, technical support, process compliance, troubleshooting, operational excellence, project management, team management, workforce management",2 weeks ago
Analyst - L3,Wipro,3-5 Yrs,Bengaluru,Experience with technical support tools and softwareExperience: 3-5 Years,"vulnerability assessment, threat modeling, application security, penetration testing, digital transformation, burp suite, cyber security, owasp",2 weeks ago
Analyst,eClerx,6-8 Yrs,Bengaluru,Experience working with IT Services & Consulting companies is preferred. The ideal cand...,"log shipping, database maintenance, data analysis, performance tuning, database migration, database mirroring, sql server dba, t-sql",3+ weeks ago
Analyst,eClerx,2-4 Yrs,Bengaluru,We are looking for a highly skilled and experienced Analyst to join our team at eClerx ...,"change management, project management, data analysis, team management, it services, program management, business analysis, networking",3+ weeks ago
Analyst,eClerx,1-2 Yrs,Bengaluru,"Experience with data analysis tools and technologies, such as Excel or SQL","SQL, database maintenance, operations management, data analysis, control plan, business analysis, process improvement, sql server",3+ weeks ago
Analyst,Wipro,1-3 Yrs,Bengaluru,Role PurposeThe purpose of the role is to provide effective technical support to the pr...,"funding, due diligence, private equity, business valuation, tableau, snowflake, customer service, dashboards",3+ weeks ago
Analyst,Wipro,1-3 Yrs,Bengaluru,"Candidate must be a Post Graduate or C.A., with knowledge of accounting and finance Can...","partnership tax, private equity, accounting, partnerships, taxation, financial analysis, us tax, us gaap",3+ weeks ago
Analyst,Evalueserve,1-3 Yrs,Bengaluru,. Should have exposure ofworking on Moodys Credit Lens (mandatory) . Financials spreadi...,"financial analysis, analysts, risk management, visualforce, lending, report generation, forecasting, administration",3+ weeks ago
Analyst,Wipro,1-4 Yrs,Bengaluru,The purpose of the role is to provide effective technical support to the process and ac...,"customer service, technical support, process compliance, troubleshooting, operational excellence, project management, team management, workforce management",3 weeks ago
Analyst,Wipro,1-3 Yrs,Bengaluru,Very Good written & spoken communication skills Good the ability to escalate issues on ...,"hedge funds, accounting, ms office tools, financial accounting, fund accounting, project management, private equity, capital market",3+ weeks ago
Navision Analyst,Atos,5-10 Yrs,"Hybrid - Bengaluru, Pune, Chennai",Jobs || Atos is Hiring Senior Navision AnalystLocation: Pune / Mumbai / Chennai / Bang...,"Nav 2003, Nav 4.0, Navision 2003, Analysis, Navision, NAV",3+ weeks ago
Analyst - L3,Wipro,3-5 Yrs,Bengaluru,. We are looking for a skilled Technical Support professional with 3-5 years of experie...,"vulnerability scanning, technical support, troubleshooting, penetration testing, technical documentation, burp suite, owasp, information security",3+ weeks ago
Analyst,Wipro,1-3 Yrs,Bengaluru,. Do. Support process by managing transactions as per required quality standards . Expe...,"customer service, technical support, process compliance, troubleshooting, operational excellence, project management, team management, workforce management",3+ weeks ago
Deal Desk Analyst,Cognizant,1-3 Yrs,Bengaluru,This is a permanent night shift position. Willingness to work permanently in the Night ...,"Deal Desk, Pricing, Pricing Strategy, Analysis, Desk",3+ weeks ago
Post-Close Analyst,Altisource,1-7 Yrs,Bengaluru,Notify clients about order status updates via emails and chat messages to ensure transp...,"Analyst, US mortgage, Construction, Inspection, Scheduling, Management, Budgeting, Analysis",3+ weeks ago
